name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
Kepler-1514 b,Confirmed,5.28,1.108,217.83184,0.753,0.401,0.119,Primary Transit,2016-01-01
Kepler-15 b,Confirmed,0.66,0.96,4.942782,0.05714,0.06,0.36,Primary Transit,2011-01-01
Kepler-1647 (AB)b,Confirmed,1.52,1.06,1107.5923,2.7205,0.0581,-0.134,Primary Transit,2015-01-01
Kepler-1654 b,Confirmed,0.5,0.819,1047.8356,2.026,0.26,-0.088,Primary Transit,2018-01-01
Kepler-1655 b,Confirmed,0.01573,0.197,11.8728787,0.103,0.0,-0.24,Primary Transit,2018-01-01
Kepler-1656 b,Confirmed,0.1504,0.448,31.562,0.1974,0.838,0.19,Primary Transit,2018-01-01
Kepler-1657 b,Confirmed,1.93,0.99,141.241671,0.534,0.496,0.16,Primary Transit,2018-01-01
Kepler-1658 b,Confirmed,5.88,1.07,3.84937278,0.0544,0.0628,-0.18,Primary Transit,2019-01-01
Kepler-1659 b,Confirmed,0.02832,0.17,13.6088,0.112293,0.0114,0.052,Primary Transit,2019-01-01
Kepler-1659 c,Confirmed,0.01447,0.17,20.4415,0.14728,0.014,0.052,Primary Transit,2019-01-01
Kepler-167 Ae,Confirmed,4.0,0.9064,1071.23205,1.883,0.062,0.02,Primary Transit,2016-01-01
Kepler-16 (AB)b,Confirmed,0.333,0.7538,228.776,0.7048,0.00685,-0.3,Primary Transit,2011-01-01
Kepler-1704 b,Confirmed,4.16,1.066,988.88112,2.027,0.92,0.196,Primary Transit,2017-01-01
Kepler-1705 b,Confirmed,0.01406,0.1811,9.03502,0.08,0.033,-0.52,Primary Transit,2017-01-01
Kepler-1705 c,Confirmed,0.01705,0.1829,11.28,0.0416,0.028,-0.52,Primary Transit,2017-01-01
Kepler-1708 b,Confirmed,4.6,0.8886,737.1131,1.64,0.4,0.0,Primary Transit,2021-01-01
Kepler-1710 b,Confirmed,0.010997,0.2308,14.91094205,0.1157,0.0,-0.07,Primary Transit,2017-01-01
Kepler-17 b,Confirmed,2.45,1.31,1.4857108,0.02591,0.011,0.26,Primary Transit,2011-01-01
Kepler-1876 b,Confirmed,0.0076,0.0761,6.99205,0.0758,0.01,0.01,Primary Transit,2022-01-01
Kepler-18 b,Confirmed,0.022,0.178,3.504725,0.0447,0.0,0.19,Primary Transit,2011-01-01
Kepler-18 c,Confirmed,0.054,0.49,7.64159,0.0752,0.0,0.19,Primary Transit,2011-01-01
Kepler-18 d,Confirmed,0.052,0.623,14.85888,0.1172,0.0,0.19,Primary Transit,2011-01-01
Kepler-1971 b,Confirmed,0.00107,0.0455,0.412,0.008,0.0,0.1,Primary Transit,2017-01-01
